"Description","running time","beam size","alpha","L-1","L-2","L-3","L-4","L-5","L-6","L-7","L-8","L-9","L-10","L-11","L-12","L-13","L-14","L-15","L-16","L-17","L-18","L-19","L-20","score"
"Weighted Heuristics .78",1000,100,0.78,0.75,0.68,0.55,0.57,0.85,0.57,0.5,0.68,0.8,0.77,0.65,0.47,0.6,0.52,0.68,0.77,0.65,0.45,0.75,0.6,
"Weighted Heuristics .79",1000,100,0.79,0.75,0.68,0.55,0.57,0.85,0.5,0.5,0.68,0.8,0.77,0.65,0.47,0.6,0.52,0.68,0.77,0.65,0.45,0.75,0.6,
"Weighted Heuristics .80",1000,100,0.8,0.6,0.77,0.47,0.57,0.77,0.57,0.5,0.7,0.8,0.68,0.65,0.55,0.52,0.5,0.7,0.68,0.57,0.52,0.62,0.62,
"Weighted Heuristics .81",1000,100,0.81,0.6,0.68,0.47,0.57,0.73,0.57,0.52,0.62,0.8,0.68,0.65,0.6,0.6,0.55,0.7,0.68,0.47,0.43,0.62,0.62,
"Weighted Heuristics .82",1000,100,0.82,0.6,0.68,0.47,0.57,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.6,0.6,0.55,0.7,0.68,0.47,0.43,0.62,0.62,
"Weighted Heuristics .83",1000,100,0.83,0.6,0.68,0.47,0.57,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.6,0.6,0.55,0.7,0.68,0.47,0.43,0.62,0.62,
"Weighted Heuristics .84",1000,100,0.84,0.6,0.68,0.47,0.57,0.73,0.57,0.52,0.7,0.8,0.68,0.65,0.6,0.52,0.55,0.7,0.68,0.57,0.43,0.62,0.62,
"Weighted Heuristics .85",1000,100,0.85,0.6,0.68,0.47,0.57,0.73,0.57,0.52,0.7,0.8,0.68,0.65,0.6,0.52,0.55,0.7,0.68,0.57,0.43,0.62,0.62,
"Weighted Heuristics .86",1000,100,0.86,0.7,0.75,0.47,0.57,0.73,0.57,0.5,0.7,0.8,0.68,0.65,0.5,0.6,0.52,0.62,0.68,0.55,0.45,0.75,0.62,
"Weighted Heuristics .87",1000,100,0.87,0.7,0.75,0.47,0.57,0.73,0.57,0.5,0.7,0.8,0.68,0.65,0.5,0.6,0.52,0.62,0.68,0.55,0.45,0.75,0.62,
"Weighted Heuristics .88",1000,100,0.88,0.7,0.75,0.47,0.55,0.73,0.57,0.52,0.7,0.8,0.68,0.65,0.5,0.6,0.52,0.62,0.68,0.55,0.45,0.75,0.62,
"Weighted Heuristics .89",1000,100,0.89,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.62,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .90",1000,100,0.9,0.7,0.75,0.47,0.6,0.73,0.5,0.52,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.62,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .91",1000,100,0.91,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.7,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .92",1000,100,0.92,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .93",1000,100,0.93,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.57,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .94",1000,100,0.94,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .95",1000,100,0.95,0.7,0.75,0.47,0.6,0.73,0.5,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .96",1000,100,0.96,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .97",1000,100,0.97,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.7,0.57,0.47,0.7,0.62,
"Weighted Heuristics .98",1000,100,0.98,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics .99",1000,100,0.99,0.7,0.75,0.47,0.6,0.73,0.57,0.5,0.62,0.8,0.68,0.65,0.4,0.62,0.52,0.57,0.68,0.57,0.47,0.7,0.62,
"Weighted Heuristics 1.00",1000,100,1,0.52,0.65,0.47,0.45,0.7,0.4,0.45,0.43,0.77,0.03,0.57,0.35,0.52,0.43,0.47,0.57,0.47,0.47,0.6,0.05,
